Before Midpoint	Midpoint	After Midpoint	Exemplars		
help	are_exploited_by	"abandon, turn_against,take_aim_at"	caregiver:baby		
look_after	"are_pushed_too_far_by, are_bitten_by"	"abandon, turn_against, take_aim_at"	custodian:juvenile		
"tend, care_for"	"are_pushed_too_far_by, are_disgusted_by, are_shocked_by"	"abandon, testify_against"	babysitter:baby		
capture	are_bitten_by	"abuse, kill"	pirate:captive		
enlist	"are_trusted_by, are_respected_by"	abuse	king:pawn		
exploit	"are_feared_by, are_distrusted_by"	alienate	king:pawn		
"supervise, look_after"	"are_trusted_by, are_respected_by"	indoctrinate	momma:baby		
look_after	"are_upstaged_by, are_driven_mad_by, are_bitten_by"	abuse	momma:baby		
lead	are_disrespected_by	abuse	warlord:follower		
mock	are_forgiven_by	admire	fiend:victim		
spy_on	are_discovered_by	beg_forgiveness_from	assassin:target		
spy_on	are_shocked_by	take_aim_at	assassin:target		
"are_trusted_by, are_welcomed_by, are_intrigued_by"	spy_on	are_shocked_by	spy:target		
are_shocked_by	blackmail	are_bought_off_by	spy:target		
abuse	"are_feared_by, are_distrusted_by, are_despised_by"	alienate	celebrity:admirer		
condescend_to	"are_despised_by, are_resented_by"	alienate	celebrity:admirer		
condescend_to	"are_ignored_by, are_rebuffed_by"	humiliate	populist:follower		
humiliate	are_despised_by	alienate	bully:victim		
insult	are_despised_by	alienate	sage:follower		
love	are_driven_mad_by	"alienate, kill"	mother:baby		
love	are_energized_by	alienate	mother:baby		
play_for	"are_heckled_by, are_booed_by"	condescend_to	musician:listener		
punish	"are_despised_by, are_resented_by"	alienate	totalitarian:dissenter		
resent	"are_feared_by, are_distrusted_by"	alienate	nationalist:foreigner		
travel_with	are_bored_by	alienate	companion:traveler		
tune_out	"are_lectured_by, are_chastised_by"	alienate	parishioner:preacher		
interview	"are_impressed_by, are_entertained_by, are_intrigued_by"	write_about	biographer:star		
interview	"are_trusted_by, are_respected_by"	share_stories_with	biographer:star		
interview	"are_trusted_by, are_respected_by"	spread_lies_about	biographer:star		
interview	"are_insulted_by, are_attacked_by"	testify_against	biographer:star		
write_about	are_contradicted_by	argue_with	biographer:star		
observe	are_intrigued_by	spy_on	biographer:star		
are_accompanied_by	"argue_with, disagree_with, fail_to_deliver_for"	are_abandoned_by	explorer:cartographer		
are_assisted_by	"condescend_to, overwork"	are_abandoned_by	apostle:helper		
are_deflowered_by	fall_in_love_with	are_abandoned_by	maiden:swain		
are_escorted_by	argue_with	are_abandoned_by	president:bodyguard		
are_followed_by	"disappoint, disillusion, deceive, condescend_to"	are_abandoned_by	guru:disciple		
are_kissed_by	sleep_with	are_abandoned_by	girl:boy		
are_shielded_by	"fail_to_reward, condescend_to"	are_abandoned_by	politician:gatekeeper		
are_supported_by	"condescend_to, disrespect, fail_to_reward"	are_abandoned_by	president:loyalist		
are_worshipped_by	"fail_to_impress, ignore, spread_lies_about, fail_to_deliver_for"	are_abandoned_by	comedian:fan		
are_attracted_by	"trust, flirt_with, play_with"	are_abducted_by	hostage:abductor		
are_worshipped_by	"condescend_to, ignore"	are_abducted_by	captive:abductor		
are_arrested_for_hurting	"beg_forgiveness_from, seek_forgiveness_from"	are_forgiven_by	bully:victim		
are_forgiven_by	sympathize_with	are_inspired_by	bully:victim		
are_evaluated_by	"lick_up_to, kiss_up_to, flatter"	are_appointed_by	bishop:pope		
are_abused_by	stand_up_to	"are_arrested_for_killing, are_arrested_for_hurting"	captive:overseer		
are_beaten_by	attack	"are_arrested_for_killing, are_arrested_for_hurting"	victim:bully		
are_betrayed_by	silence	"are_arrested_for_killing, are_arrested_for_hurting"	confidante:friend		
are_betrayed_by	track_down	"are_arrested_for_killing, are_arrested_for_hurting"	conspirator:coconspirator		
are_corrupted_by	disagree_with	"are_arrested_for_killing, are_arrested_for_hurting"	victim:temptress		
are_denounced_by	attack	"are_arrested_for_killing, are_arrested_for_hurting"	critic:artist		
are_driven_mad_by	stalk	"are_arrested_for_killing, are_arrested_for_hurting"	fan:celebrity		
are_facilitated_by	argue_with	"are_arrested_for_killing, are_arrested_for_hurting"	negotiator:mediator		
are_fired_by	murder	are_arrested_for_killing	underling:boss		
are_humiliated_by	attack	"are_arrested_for_killing, are_arrested_for_hurting"	fan:celebrity		
are_ruined_by	abduct	"are_arrested_for_killing, are_arrested_for_hurting"	victim:blackmailer		
are_stalked_by	"threaten, sue, taunt"	"are_arrested_for_killing, are_arrested_for_hurting"	fugitive:pursuer		
are_taunted_by	attack	"are_arrested_for_killing, are_arrested_for_hurting"	underdog:bully		
are_threatened_by	"attack, murder"	"are_arrested_for_killing, are_arrested_for_hurting"	victim:bully		
are_underestimated_by	lay_a_trap_for	are_cursed_by	prey:abuser		
arrest	"are_insulted_by, are_attacked_by"	are_arrested_for_killing	cop:criminal		
denounce	are_attacked_by	are_arrested_for_killing	critic:rival		
take_up_with	are_betrayed_by	are_arrested_for_killing	cheater:mistress		
are_ignored_by	threaten	are_attacked_by	evangelist:sinner		
are_unimpressed_by	"criticize, mock, taunt"	are_attacked_by	peer:professional		
are_advised_by	"listen_to, learn_from, look_up_to"	are_attracted_by	acolyte:guru		
are_defrocked_by	"beg_forgiveness_from, seek_forgiveness_from"	are_banished_by	clergyman:bishop		
are_denounced_by	"beg_forgiveness_from, seek_forgiveness_from"	are_banished_by	socialist:comrade		
are_ennobled_by	"disagree_with, betray, cheat"	are_banished_by	aristocrat:king		
are_exorcized_by	cry_for	are_banished_by	ghost:priest		
are_nurtured_by	disappoint	are_banished_by	infant:mama		
are_rebuffed_by	"threaten, criticize, attack"	are_banished_by	suitor:beauty		
are_recalled_by	"beg_forgiveness_from, seek_forgiveness_from"	are_banished_by	ambassador:president		
are_challenged_by	attack	are_beaten_by	opposer:advocate		
are_enslaved_by	"stand_up_to, disobey"	are_beaten_by	native:conqueror		
are_failed_by	"sue, condescend_to"	are_beaten_by	hearer:lecturer		
are_interrogated_by	"lie_to, deceive"	are_beaten_by	defendant:interrogator		
are_protected_by	fail_to_deliver_for	are_beaten_by	prostitute:pimp		
are_pushed_too_far_by	disobey	are_beaten_by	hostage:guard		
are_repaid_by	condescend_to	are_beaten_by	lender:borrower		
are_rescued_by	"disgust, argue_with, criticize"	are_beaten_by	evacuee:savior		
are_saved_by	"disagree_with, disappoint"	are_beaten_by	captive:savior		
are_spoiled_by	"insult, disrespect"	are_beaten_by	brat:parent		
